;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1 O2;Theta O1 O2;Alpha O1 O2;Beta O1 O2;Delta PO;Theta PO;Alpha PO;Beta PO
S24;Reposo_EEG_OI;0.02496528388874663;0.02207726071165552;0.028015727096750754;0.012848490149348295;0.040584408760671375;0.04315279758069039;0.0658612434784269;0.0327843369695321;0.17443003132465654;0.1747245069491807;0.23585531508255703;0.14067424567863454
S25;Reposo_EEG_OI;0.006116273945464107;0.006241790918143947;0.00618888547220657;0.021532083597243477;0.02003917891004901;0.02438418523972677;0.020561849146529674;0.07052919147945501;0.1440930213245032;0.15844380928186713;0.10209198242470978;0.4083901243053635
S26;Reposo_EEG_OI;0.015487925824103552;0.024741608288301086;0.01452351606234454;0.02127642240690618;0.02816602465334063;0.061022731786321976;0.047670437646133074;0.04971751565120131;0.14871701230712178;0.22533060873585503;0.1937605121513115;0.16746384680341211
S27;Reposo_EEG_OI;0.007028351954003638;0.01163787041810277;0.008172324385227579;0.009629372876713994;0.018605798610283518;0.05647429357210284;0.052101541861819346;0.029262232418898342;0.07619785946336464;0.322956953178014;0.2774894193296919;0.12825203214072922
S28;Reposo_EEG_OI;0.025688611983436197;0.02577758666012934;0.011297685134076795;0.012690611745450197;0.039775459819311736;0.04435811188066969;0.03745313409910936;0.04519254894882535;0.19270800639557706;0.17329985105464768;0.1668479543016676;0.22257320622590349
S29;Reposo_EEG_OI;0.008656744952699877;0.009073871051627299;0.011464098025645084;0.013388240798254278;0.03252708816787928;0.027836680338416964;0.06384963237619208;0.041288683894003655;0.208275030595363;0.16262759756671732;0.2639797256252249;0.1527959072574169
S30;Reposo_EEG_OI;0.005159599413104891;0.006751771517459827;0.0110335344498376;0.017558643015604943;0.018941027306976884;0.023534940383272505;0.055950528746722114;0.08673872563113039;0.07228958931471031;0.09899074823892154;0.2503423283223202;0.3500319435091214
S31;Reposo_EEG_OI;0.016070681423077462;0.014844198292341352;0.011478940837242116;0.014804697333057622;0.038161956397628455;0.04119979989950694;0.039418916998929514;0.0465097254196963;0.20474236282760316;0.21231530690865064;0.18401984710140404;0.17250239369642467
S32;Reposo_EEG_OI;0.007079703249544339;0.008524320255369325;0.017064031770202114;0.012467275208283706;0.013656693555958919;0.02675255762173364;0.08141837468524218;0.04784104863489762;0.0610630958315265;0.13689866942889664;0.3748480601133814;0.2101864588457209
S33;Reposo_EEG_OI;0.006008920757430023;0.0045604097098871765;0.010936158340367118;0.01248378355569919;0.021995924383349446;0.01975490804488351;0.05802386065673261;0.05545787483924901;0.1896242101716726;0.1480063334134853;0.21377981037020274;0.2559466876792781
