;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1 O2;Theta O1 O2;Alpha O1 O2;Beta O1 O2;Delta PO;Theta PO;Alpha PO;Beta PO
S21;form_left;0.023731067260395186;0.027656894151317283;0.012354323589318072;0.011366273606908511;0.04094732846692565;0.053988595958752;0.03483610773307564;0.04807686222451165;0.15132449996063943;0.17839400776404182;0.14055407630525313;0.267484705023953
S22;form_left;0.049209351435283974;0.04438688308295943;0.02087955413800489;0.03791166888313667;0.05188907513379558;0.05104433448400945;0.04670314614894394;0.07157947082642627;0.1334462024447009;0.11651455286902236;0.15450578635595458;0.20697080718360905
S24;form_left;0.02403613908117366;0.025040162760212228;0.012545567480952126;0.01905212342123768;0.03668497831688656;0.046468171609078394;0.04026069286946752;0.07739105944764285;0.14016560477289178;0.1761699114582863;0.14044751844242845;0.25423175923366814
S25;form_left;0.02403613908117366;0.025040162760212228;0.012545567480952126;0.01905212342123768;0.03668497831688656;0.046468171609078394;0.04026069286946752;0.07739105944764285;0.14016560477289178;0.1761699114582863;0.14044751844242845;0.25423175923366814
S26;form_left;0.009355671179335464;0.01397925564643649;0.012603034201835658;0.036128811117601266;0.025569807327708763;0.0506618013500083;0.03910084976224619;0.07695821900441135;0.1052156038369694;0.22361068133298848;0.15764338507712047;0.23897121896939624
S27;form_left;0.009472146744446687;0.010288686838486326;0.008043372516535792;0.010810563677627082;0.040978915186265084;0.053191833820710875;0.03636607903018686;0.030582877221205184;0.1625400194933215;0.28564723246142615;0.22180009987868401;0.12631728619550803
S28;form_left;0.016979688565075802;0.018812156684028847;0.010111813811123499;0.014568867651107773;0.04810493329350985;0.05092367399607131;0.030312117032091378;0.04341252225644991;0.24055006585530292;0.23297269847745294;0.12778450846234088;0.16084796406873444
S29;form_left;0.007068874711498585;0.006954607835733123;0.007075463491714946;0.013280279271032975;0.0521573723863333;0.03413254193947934;0.02641969338798498;0.03472933210202102;0.38333819555432874;0.20041495023731756;0.11270125558222131;0.11837623980217181
S30;form_left;0.0058789195908961756;0.008621063383864775;0.012825918244003493;0.027344437191445446;0.020668449811711828;0.029030468295525406;0.05022706213234728;0.08964065519190602;0.08106944009610309;0.11358367060360001;0.21910074297474386;0.3370114629518972
S31;form_left;0.012417535527564413;0.010133106481115773;0.011246123933246845;0.01992078113314769;0.02458636630895851;0.028601797593348275;0.03740642337024261;0.07233253830704621;0.1478633946046968;0.1639387348050163;0.13986470981466054;0.31844756385555445
S32;form_left;0.01003789509015685;0.01006226610442164;0.01151034891164178;0.01307533837924532;0.029838524304636436;0.04174809428992575;0.043974794749278255;0.041507901410467396;0.15940078441785255;0.2323532107976843;0.21987551455934382;0.18235036421466955
S33;form_left;0.012692010334910705;0.008621245181395298;0.004681894418574366;0.013301081540938961;0.03621485985599816;0.03380219535780293;0.01929419163518319;0.04887725067173107;0.22873702722383005;0.21792930959396475;0.12290510424092842;0.24738071550472668
S34;form_left;0.0077817869017719745;0.0101109976712273;0.018216583104977244;0.015987426519352362;0.02798840101277318;0.03600719088289715;0.04977478977423501;0.04250383537529681;0.19929711321065996;0.2032446428013133;0.24146927120286502;0.14346386375637346
