;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4;alpha_1;beta_1;delta_1;theta_1
S24;Dots right;0.043626717;0.044399621;0.016628921;0.019904119;0.041690453;0.044806881;0.01757079;0.022479034;0.040759125;0.041744891;0.019292011;0.025296954;0.04344862;0.040549945;0.018949849;0.0222464;0.043293891;0.040276408;0.021417791;0.025540216;0.038972031;0.044837442;0.017579544;0.01924792;0.051864648;0.046209925;0.020250313;0.022896816;-5.39588;-4.02309;10.7688;11.0119
2S3;Dots right;0.025263969;0.038904258;0.020102458;0.036599941;0.028045054;0.039490003;0.021077542;0.033421317;0.031638923;0.0389655;0.024835657;0.036567015;0.021420865;0.039612878;0.016938914;0.033976192;0.014623744;0.027150863;0.01530748;0.030322336;0.034011946;0.040270392;0.032447679;0.045240811;0.028770103;0.039394884;0.02642228;0.037019078;-4.64021;3.21156;1.83247;7.52026
2S4;Dots right;0.039043285;0.041057631;0.020799755;0.01936483;0.04860565;0.053079767;0.027774624;0.023862582;0.066814712;0.061213118;0.026797169;0.023668233;0.027875002;0.029162332;0.015678326;0.015723115;0.017144165;0.018472835;0.011412843;0.013649919;0.048011505;0.048252409;0.022131993;0.020153711;0.036495499;0.033076893;0.019056842;0.018347897;-4.9647;-5.58637;9.0592;9.14364
2S5;Dots right;0.038366624;0.025551517;0.014560673;0.035197575;0.045709696;0.035544621;0.016621546;0.035645217;0.029274266;0.027097688;0.016758554;0.04093652;0.042462247;0.04020072;0.017839951;0.03725538;0.020002756;0.018279472;0.013783614;0.050618216;0.022416192;0.025850852;0.015187141;0.036667019;0.027146975;0.02148729;0.013171179;0.032136673;-6.10751;3.95331;4.93539;1.21912
2S6;Dots right;0.033362902;0.033030813;0.022360881;0.049159896;0.021042339;0.031931583;0.023717707;0.05013012;0.014678023;0.025101365;0.022786081;0.052837506;0.017366757;0.028803168;0.020304067;0.046066519;0.013894912;0.027591435;0.023146837;0.04117262;0.01917432;0.029715108;0.023766291;0.047175814;0.015795331;0.028764963;0.023175459;0.041385989;-4.48015;8.52933;-1.6792;2.25137
2S7;Dots right;0.02514568;0.024319643;0.018886367;0.0328455;0.036791279;0.030953704;0.022632925;0.041077308;0.028018164;0.035081168;0.027037485;0.050488347;0.034389946;0.027521982;0.020368816;0.035452291;0.025469016;0.019282826;0.019063829;0.050833688;0.027481516;0.029823507;0.019193859;0.033697111;0.025909571;0.02689932;0.017153794;0.025326426;-4.95372;3.82506;3.27476;1.19753
2S8;Dots right;0.021938771;0.027427458;0.029812573;0.03362696;0.024832402;0.029571269;0.030835274;0.036180705;0.026521889;0.032284337;0.031974437;0.040671392;0.020767491;0.025341456;0.028651997;0.032824987;0.018072732;0.025142902;0.02714851;0.034048787;0.028414548;0.033396109;0.032758764;0.033532326;0.025983519;0.030757024;0.032754159;0.030442617;-2.7169;2.0998;0.586702;2.1274
2S9;Dots right;0.02385523;0.027752261;0.018757014;0.045969024;0.021605143;0.02893085;0.021091764;0.053033217;0.022865284;0.02917804;0.02248409;0.056113235;0.018572436;0.027321254;0.017668832;0.040004777;0.01279914;0.022265004;0.01427117;0.033051625;0.028974676;0.039291522;0.023813407;0.050248924;0.024011998;0.036228801;0.020967686;0.039559414;-5.15351;7.82623;-0.425691;2.82097
2S10;Dots right;0.014986673;0.018818041;0.027865134;0.025079317;0.017574494;0.022570907;0.036010279;0.031975416;0.019190904;0.024019522;0.046618179;0.038507714;0.013620476;0.018736743;0.033978254;0.024454118;0.014899369;0.019113364;0.051678;0.029528726;0.024076601;0.030121562;0.055495768;0.028089416;0.020222113;0.025092205;0.060453374;0.024225423;0.0769963;-0.875182;-2.4971;-1.93094
2S11;Dots right;0.019953953;0.019962167;0.012305404;0.022123939;0.021113957;0.02176437;0.013599885;0.024327816;0.022805301;0.02056243;0.013363411;0.027060544;0.020973028;0.021021307;0.01330122;0.022874634;0.027333213;0.024901118;0.017499314;0.03277253;0.029637331;0.027259534;0.015707616;0.023234121;0.045185904;0.02644312;0.015592251;0.022233757;-6.38882;-2.83732;2.22751;-1.59354
2S12;Dots right;0.019078002;0.023039626;0.033991512;0.023067142;0.020895572;0.024975856;0.037797668;0.024662662;0.017703723;0.022559881;0.03973781;0.023823756;0.02061041;0.021264948;0.039392117;0.02144834;0.020633827;0.020024423;0.040842265;0.017616544;0.028223524;0.029261685;0.053656313;0.023285379;0.032811993;0.028472083;0.057827811;0.020068983;-0.0257364;-4.16378;0.181637;-0.889935
